File,True Positives,False Positives,False Negatives,Precision,Recall,F1
results-CM1-NASA_no_llm-1.json_c399af43-7604-3608-9acb-49f6058b63e4.md,9,13,36,0.4090909090909091,0.2,0.2686567164179105
results-CM1-NASA_no_llm-10.json_b72c7b66-4b71-36a1-9422-8185d06efbee.md,40,180,5,0.18181818181818182,0.8888888888888888,0.3018867924528302
results-CM1-NASA_no_llm-11.json_a4da99c1-4598-3a28-9524-7c4d35d65efa.md,41,201,4,0.16942148760330578,0.9111111111111111,0.2857142857142857
results-CM1-NASA_no_llm-12.json_acdb715f-b1e3-335e-a548-00615abbb9e7.md,42,222,3,0.1590909090909091,0.9333333333333333,0.27184466019417475
results-CM1-NASA_no_llm-13.json_30c79517-074d-3f53-b062-92a1c3a755fc.md,44,242,1,0.15384615384615385,0.9777777777777777,0.26586102719033233
results-CM1-NASA_no_llm-14.json_6135f127-7b30-35da-a2d6-a8d1c44763e1.md,44,264,1,0.14285714285714285,0.9777777777777777,0.24929178470254953
results-CM1-NASA_no_llm-15.json_717b8a99-a3c7-3777-b81a-ba0bd93f3080.md,44,286,1,0.13333333333333333,0.9777777777777777,0.23466666666666663
results-CM1-NASA_no_llm-16.json_92010ecc-cd85-3dba-a809-442c7c01486a.md,45,307,0,0.1278409090909091,1.0,0.22670025188916876
results-CM1-NASA_no_llm-17.json_a737f88d-9f49-3b11-a17e-b4f733eb7cb8.md,45,329,0,0.12032085561497326,1.0,0.21479713603818615
results-CM1-NASA_no_llm-18.json_af18aabb-5a4f-3529-9a00-7c6ea5c239af.md,45,351,0,0.11363636363636363,1.0,0.20408163265306123
results-CM1-NASA_no_llm-19.json_5d5777a1-d900-38d9-9fc2-ac3ca9a515a1.md,45,373,0,0.1076555023923445,1.0,0.1943844492440605
results-CM1-NASA_no_llm-2.json_9368eeba-b193-3e55-8829-f8c97da813b1.md,17,27,28,0.38636363636363635,0.37777777777777777,0.38202247191011235
results-CM1-NASA_no_llm-20.json_77575d57-5abd-3323-9968-b0173a99ce3a.md,45,395,0,0.10227272727272728,1.0,0.18556701030927836
results-CM1-NASA_no_llm-21.json_8dc3c49e-e702-33d5-9470-cb6d6431092b.md,45,417,0,0.09740259740259741,1.0,0.1775147928994083
results-CM1-NASA_no_llm-22.json_92ef4e64-7137-3a54-9bb9-2b0472b19935.md,45,439,0,0.09297520661157024,1.0,0.17013232514177692
results-CM1-NASA_no_llm-23.json_2c7cbadb-44e3-3039-8d63-222e5653c422.md,45,461,0,0.08893280632411067,1.0,0.1633393829401089
results-CM1-NASA_no_llm-24.json_688fd7bb-2bcd-326b-8cd8-9682dbd9483a.md,45,483,0,0.08522727272727272,1.0,0.15706806282722513
results-CM1-NASA_no_llm-25.json_27d70769-1cfd-3e8a-967a-054d5edb7c5f.md,45,505,0,0.08181818181818182,1.0,0.15126050420168066
results-CM1-NASA_no_llm-26.json_a6bc59c6-7002-3182-8b64-0d9eefc769d0.md,45,527,0,0.07867132867132867,1.0,0.1458670988654781
results-CM1-NASA_no_llm-27.json_74737bf7-01bb-383b-9e04-08b5b8a21e51.md,45,549,0,0.07575757575757576,1.0,0.14084507042253522
results-CM1-NASA_no_llm-28.json_0b877950-d5ce-323c-b26d-245445e5cfd8.md,45,571,0,0.07305194805194805,1.0,0.1361573373676248
results-CM1-NASA_no_llm-29.json_747a5382-79ae-3e6a-9deb-fb8e8466f549.md,45,593,0,0.07053291536050156,1.0,0.13177159590043921
results-CM1-NASA_no_llm-3.json_5ff76104-100b-34fd-a8be-a9ddf6bb375c.md,22,44,23,0.3333333333333333,0.4888888888888889,0.3963963963963964
results-CM1-NASA_no_llm-30.json_1dea18de-e9af-3529-be6f-26d2c878605f.md,45,615,0,0.06818181818181818,1.0,0.1276595744680851
results-CM1-NASA_no_llm-4.json_1e0f877b-aa91-3b2f-aac0-408331095671.md,29,59,16,0.32954545454545453,0.6444444444444445,0.4360902255639098
results-CM1-NASA_no_llm-5.json_ea1560ac-f0ee-3afe-9b10-391c3a457782.md,33,77,12,0.3,0.7333333333333333,0.4258064516129032
results-CM1-NASA_no_llm-6.json_f7054efd-713e-3963-a689-97fa608ebf6b.md,35,97,10,0.26515151515151514,0.7777777777777778,0.39548022598870064
results-CM1-NASA_no_llm-7.json_969f07a3-8229-3369-8ab8-22076d40eb32.md,36,118,9,0.23376623376623376,0.8,0.3618090452261306
results-CM1-NASA_no_llm-8.json_97f710fa-0a1a-39e1-a495-688bbda1d036.md,37,139,8,0.21022727272727273,0.8222222222222222,0.334841628959276
results-CM1-NASA_no_llm-9.json_6bfc9e36-d7d9-3884-90aa-28170732aaa8.md,40,158,5,0.20202020202020202,0.8888888888888888,0.3292181069958848
results-GANNT_no_llm-1.json_a4938aa4-b197-37b3-aab5-e4ee122a47ad.md,14,3,54,0.8235294117647058,0.20588235294117646,0.32941176470588235
results-GANNT_no_llm-10.json_90f040b6-1d8d-3d71-81f1-36205a452baa.md,46,124,22,0.27058823529411763,0.6764705882352942,0.3865546218487395
results-GANNT_no_llm-11.json_8b392c89-3867-371f-ad53-276516020f03.md,48,139,20,0.25668449197860965,0.7058823529411765,0.37647058823529417
results-GANNT_no_llm-12.json_498653af-ccc1-3d7a-a21e-c652df842670.md,50,154,18,0.24509803921568626,0.7352941176470589,0.3676470588235294
results-GANNT_no_llm-13.json_35c63de5-95e8-3ddf-b699-41714c385a37.md,51,170,17,0.23076923076923078,0.75,0.3529411764705882
results-GANNT_no_llm-14.json_67a45574-050d-3f88-a657-ffae31515b41.md,52,186,16,0.2184873949579832,0.7647058823529411,0.33986928104575165
results-GANNT_no_llm-15.json_87e54233-01c0-3774-917b-fbef6bbeb4b2.md,55,200,13,0.21568627450980393,0.8088235294117647,0.3405572755417957
results-GANNT_no_llm-16.json_a9c7e496-3e20-38d1-9e5b-c5c5f0920d3e.md,55,217,13,0.20220588235294118,0.8088235294117647,0.32352941176470595
results-GANNT_no_llm-17.json_7234c38b-0c29-3aaf-80bc-aed9823508ce.md,55,234,13,0.1903114186851211,0.8088235294117647,0.30812324929971985
results-GANNT_no_llm-18.json_d5317c41-b78c-3097-81fc-5e366ec25f95.md,55,251,13,0.17973856209150327,0.8088235294117647,0.2941176470588235
results-GANNT_no_llm-19.json_e83983ae-cb17-3da1-aec8-c57d818212ed.md,56,267,12,0.17337461300309598,0.8235294117647058,0.2864450127877238
results-GANNT_no_llm-2.json_d848b3c3-cc3d-3516-9cbc-dac69f837430.md,24,10,44,0.7058823529411765,0.35294117647058826,0.4705882352941177
results-GANNT_no_llm-20.json_c26b6e22-9677-3ab6-90be-155192805e83.md,57,283,11,0.1676470588235294,0.8382352941176471,0.27941176470588236
results-GANNT_no_llm-21.json_ce3c63ac-232a-376c-b640-283342e0b7d2.md,57,300,11,0.15966386554621848,0.8382352941176471,0.26823529411764707
results-GANNT_no_llm-22.json_cc331c57-9286-3084-a107-f7788c279db4.md,58,316,10,0.15508021390374332,0.8529411764705882,0.26244343891402716
results-GANNT_no_llm-23.json_0761b745-4edd-37c0-9576-7bf17c97772d.md,58,333,10,0.1483375959079284,0.8529411764705882,0.25272331154684097
results-GANNT_no_llm-24.json_a5876324-8471-32a1-a865-76a5d18b1353.md,58,350,10,0.14215686274509803,0.8529411764705882,0.2436974789915966
results-GANNT_no_llm-25.json_23d6ac4d-bb0a-34b2-b6ad-917fd6eb19c9.md,58,367,10,0.13647058823529412,0.8529411764705882,0.23529411764705882
results-GANNT_no_llm-26.json_31038aad-a88f-3171-a3a1-72f5033c21b5.md,60,382,8,0.13574660633484162,0.8823529411764706,0.23529411764705882
results-GANNT_no_llm-27.json_08714694-af9f-315f-906e-31b3fe8b85b9.md,60,399,8,0.13071895424836602,0.8823529411764706,0.22770398481973436
results-GANNT_no_llm-28.json_f352cad2-fa1a-3a8e-8695-bf8f0255caee.md,60,416,8,0.12605042016806722,0.8823529411764706,0.22058823529411764
results-GANNT_no_llm-29.json_c416a8c3-6242-3736-b5dd-b6a84ca8f506.md,60,433,8,0.12170385395537525,0.8823529411764706,0.21390374331550802
results-GANNT_no_llm-3.json_fc1a0443-d461-3321-848c-8daaec7a5f41.md,29,22,39,0.5686274509803921,0.4264705882352941,0.4873949579831932
results-GANNT_no_llm-30.json_b5c681f5-505f-3c93-80eb-ec11aa91d5ee.md,61,449,7,0.11960784313725491,0.8970588235294118,0.21107266435986163
results-GANNT_no_llm-4.json_f7eaaebf-1952-39ad-b320-23157f00dcb8.md,37,31,31,0.5441176470588235,0.5441176470588235,0.5441176470588235
results-GANNT_no_llm-5.json_2e3d406d-981c-3813-a75b-aa355526ca2f.md,38,47,30,0.4470588235294118,0.5588235294117647,0.4967320261437909
results-GANNT_no_llm-6.json_66efb138-1d5b-3a79-87d3-b1148dce6d1d.md,40,62,28,0.39215686274509803,0.5882352941176471,0.47058823529411764
results-GANNT_no_llm-7.json_0be7af19-dc74-3b5c-a45b-d7135dfba50d.md,42,77,26,0.35294117647058826,0.6176470588235294,0.44919786096256686
results-GANNT_no_llm-8.json_915042f0-888c-38f3-8e13-5a42a29af2c2.md,44,92,24,0.3235294117647059,0.6470588235294118,0.4313725490196078
results-GANNT_no_llm-9.json_4efb63de-7d4f-3ad1-b2c0-7b6bc45ac997.md,45,108,23,0.29411764705882354,0.6617647058823529,0.40723981900452494
results-ModisDataset_no_llm-1.json_a6069ff3-e747-337e-ab99-a43d304900e8.md,8,11,33,0.42105263157894735,0.1951219512195122,0.26666666666666666
results-ModisDataset_no_llm-10.json_c56cb8c2-4cd3-37aa-8d92-dec405426369.md,19,171,22,0.1,0.4634146341463415,0.1645021645021645
results-ModisDataset_no_llm-11.json_b63723d7-2ced-3bbc-9c90-c89a4e5c0606.md,21,188,20,0.10047846889952153,0.5121951219512195,0.168
results-ModisDataset_no_llm-12.json_1da5b485-f368-3dca-bb4a-3469ade0ae23.md,22,206,19,0.09649122807017543,0.5365853658536586,0.16356877323420074
results-ModisDataset_no_llm-13.json_9de5d0b9-cafd-3c5f-bde6-3e7aa707b281.md,23,224,18,0.0931174089068826,0.5609756097560976,0.15972222222222224
results-ModisDataset_no_llm-14.json_2c0e55d4-4f7f-3ed1-a314-6366bf171971.md,23,243,18,0.08646616541353383,0.5609756097560976,0.1498371335504886
results-ModisDataset_no_llm-15.json_6b02d162-bc4b-3d81-8e45-6bae4030a813.md,25,260,16,0.08771929824561403,0.6097560975609756,0.15337423312883436
results-ModisDataset_no_llm-16.json_c5b54502-b309-3a77-894e-a717136a621b.md,27,277,14,0.08881578947368421,0.6585365853658537,0.1565217391304348
results-ModisDataset_no_llm-17.json_4ef4511d-c217-3748-8780-a0e61084181b.md,28,295,13,0.08668730650154799,0.6829268292682927,0.15384615384615385
results-ModisDataset_no_llm-18.json_9b763296-173c-3acb-b4ac-7e263257f3fb.md,30,312,11,0.08771929824561403,0.7317073170731707,0.15665796344647517
results-ModisDataset_no_llm-19.json_9ff8df63-529b-3ea3-83d2-16f6ca0ecf7a.md,32,329,9,0.0886426592797784,0.7804878048780488,0.15920398009950246
results-ModisDataset_no_llm-2.json_2b46e48c-225a-3dea-9c5b-d25ae27f7cbb.md,8,30,33,0.21052631578947367,0.1951219512195122,0.20253164556962025
results-ModisDataset_no_llm-20.json_e0feb83b-fc8e-3aeb-a75f-801a92c469a1.md,33,347,8,0.0868421052631579,0.8048780487804879,0.15676959619952494
results-ModisDataset_no_llm-21.json_5aaab941-7687-3c29-862b-a779fec0f778.md,33,366,8,0.08270676691729323,0.8048780487804879,0.15
results-ModisDataset_no_llm-22.json_3b92bd1b-b97d-3787-af07-13a975729398.md,34,384,7,0.08133971291866028,0.8292682926829268,0.14814814814814814
results-ModisDataset_no_llm-23.json_85ee77bc-1810-3a18-8132-7372ce85aee3.md,35,402,6,0.08009153318077804,0.8536585365853658,0.14644351464435149
results-ModisDataset_no_llm-24.json_8c1e08e9-d62d-3263-b581-0764d0cbbcba.md,35,421,6,0.07675438596491228,0.8536585365853658,0.14084507042253522
results-ModisDataset_no_llm-25.json_a7b3945c-fc08-330d-a340-b28f3e8c8461.md,35,440,6,0.07368421052631578,0.8536585365853658,0.13565891472868216
results-ModisDataset_no_llm-26.json_5f0a5125-ffac-3df3-b148-afb6b15f35c1.md,35,459,6,0.0708502024291498,0.8536585365853658,0.1308411214953271
results-ModisDataset_no_llm-27.json_b3b23219-a219-3e7e-9157-ec8dc3dda981.md,36,477,5,0.07017543859649122,0.8780487804878049,0.1299638989169675
results-ModisDataset_no_llm-28.json_482b7653-7cf0-38bc-8355-e17c391affc9.md,37,495,4,0.06954887218045112,0.9024390243902439,0.12914485165794065
results-ModisDataset_no_llm-29.json_c874561e-1617-31d1-a2ba-242b03b555c3.md,38,513,3,0.06896551724137931,0.926829268292683,0.12837837837837837
results-ModisDataset_no_llm-3.json_2628fe42-4e98-3e7c-bcef-372e8314d7fe.md,9,48,32,0.15789473684210525,0.21951219512195122,0.18367346938775508
results-ModisDataset_no_llm-30.json_93f1a2bd-e003-3990-88e0-8463b2782b7c.md,38,532,3,0.06666666666666667,0.926829268292683,0.12438625204582651
results-ModisDataset_no_llm-4.json_276a5265-1e04-31d6-9623-728288788793.md,11,65,30,0.14473684210526316,0.2682926829268293,0.18803418803418803
results-ModisDataset_no_llm-5.json_62473f4d-cc2a-3cab-bea0-3f1a068dddcb.md,12,83,29,0.12631578947368421,0.2926829268292683,0.1764705882352941
results-ModisDataset_no_llm-6.json_df367943-b96f-3bd4-a1d4-5cdb202f8093.md,13,101,28,0.11403508771929824,0.3170731707317073,0.16774193548387098
results-ModisDataset_no_llm-7.json_6afc4889-141b-3a60-9fee-3896612f73ca.md,14,119,27,0.10526315789473684,0.34146341463414637,0.16091954022988506
results-ModisDataset_no_llm-8.json_2d29fa72-7036-30ab-b588-e2432350cee4.md,16,136,25,0.10526315789473684,0.3902439024390244,0.16580310880829013
results-ModisDataset_no_llm-9.json_b14118e3-b5f8-3f44-80bb-bb7f37f59caa.md,18,153,23,0.10526315789473684,0.43902439024390244,0.16981132075471697
results-WARC_no_llm-1.json_1b67e8d6-2ea1-3733-9059-bde3de1d2e09.md,46,17,90,0.7301587301587301,0.3382352941176471,0.4623115577889447
results-WARC_no_llm-10.json_41e9caee-1676-331a-9e73-5da08933fa94.md,118,512,18,0.1873015873015873,0.8676470588235294,0.30809399477806787
results-WARC_no_llm-11.json_e9252ca4-af22-3b58-af26-4dc565ac679d.md,122,571,14,0.17604617604617603,0.8970588235294118,0.29433051869722554
results-WARC_no_llm-12.json_f5a01114-5d55-3645-9541-b6855e8b310d.md,125,631,11,0.16534391534391535,0.9191176470588235,0.28026905829596416
results-WARC_no_llm-13.json_ffd6edaf-7c86-35ce-9e27-4da5af203be1.md,128,691,8,0.1562881562881563,0.9411764705882353,0.26806282722513086
results-WARC_no_llm-14.json_e4ca0849-ce73-3e41-bf83-3445f288daad.md,128,754,8,0.14512471655328799,0.9411764705882353,0.25147347740667975
results-WARC_no_llm-15.json_6eabef38-15c9-3599-8fe5-bd707e99e080.md,128,817,8,0.13544973544973546,0.9411764705882353,0.2368177613320999
results-WARC_no_llm-16.json_341d55a4-509b-3062-93de-703b0322b7d9.md,130,878,6,0.12896825396825398,0.9558823529411765,0.2272727272727273
results-WARC_no_llm-17.json_e18c0ae2-c153-3630-887b-c0d29a8e2057.md,130,941,6,0.12138188608776844,0.9558823529411765,0.21541010770505387
results-WARC_no_llm-18.json_92a7211b-e8dc-3de0-baaf-6ca9ecaf826a.md,130,1004,6,0.1146384479717813,0.9558823529411765,0.20472440944881887
results-WARC_no_llm-19.json_a3309729-dbe9-3c0b-a051-2d94df87a6f6.md,131,1066,5,0.10944026733500417,0.9632352941176471,0.19654913728432108
results-WARC_no_llm-2.json_8fb5253b-7c16-31e5-9bfb-0cbb9882af98.md,71,55,65,0.5634920634920635,0.5220588235294118,0.5419847328244274
results-WARC_no_llm-20.json_49499fdc-8e49-3985-a77c-6a8edec7aacf.md,131,1129,5,0.10396825396825397,0.9632352941176471,0.1876790830945559
results-WARC_no_llm-21.json_ed8e1b05-eb14-3732-9819-121f8a00ae22.md,131,1192,5,0.09901738473167045,0.9632352941176471,0.17957505140507193
results-WARC_no_llm-22.json_daa203db-199e-3db9-9ec8-83ce4df2a082.md,131,1255,5,0.09451659451659451,0.9632352941176471,0.17214191852825228
results-WARC_no_llm-23.json_96db4201-3129-3adc-8aa3-c11b20dcac20.md,131,1318,5,0.0904071773636991,0.9632352941176471,0.16529968454258676
results-WARC_no_llm-24.json_dccf8e3d-e2d3-3733-9bcd-213583ec3078.md,131,1381,5,0.08664021164021164,0.9632352941176471,0.15898058252427183
results-WARC_no_llm-25.json_be795ca5-a37a-39bb-a42f-273396020c41.md,131,1444,5,0.08317460317460318,0.9632352941176471,0.15312682641729983
results-WARC_no_llm-26.json_5082963c-1b38-3836-b1bb-fb356bde82f4.md,132,1506,4,0.08058608058608059,0.9705882352941176,0.1488162344983089
results-WARC_no_llm-27.json_3488bdf1-aa26-32e0-98b9-ed5bcefd021e.md,132,1569,4,0.07760141093474426,0.9705882352941176,0.14371257485029942
results-WARC_no_llm-28.json_5338e37e-c7cc-342d-9549-164c622e92da.md,132,1632,4,0.07482993197278912,0.9705882352941176,0.13894736842105262
results-WARC_no_llm-29.json_12c37cd5-ce1d-3ba0-86b3-9a5dc5dd1254.md,132,1695,4,0.0722495894909688,0.9705882352941176,0.13448802852776362
results-WARC_no_llm-3.json_0116bef1-47af-3527-9daf-9e1f0dff2c05.md,86,103,50,0.455026455026455,0.6323529411764706,0.5292307692307693
results-WARC_no_llm-30.json_ee6275f7-c323-399e-97d6-3bbf61e4b152.md,133,1757,3,0.07037037037037037,0.9779411764705882,0.13129318854886476
results-WARC_no_llm-4.json_435a264e-46fe-3670-b2ca-3e7519fbe93e.md,94,158,42,0.373015873015873,0.6911764705882353,0.48453608247422686
results-WARC_no_llm-5.json_b105598a-2275-3826-a298-55156887f102.md,102,213,34,0.3238095238095238,0.75,0.4523281596452329
results-WARC_no_llm-6.json_e80c9cbc-f055-3abb-be9b-b6ff4159b763.md,106,272,30,0.2804232804232804,0.7794117647058824,0.41245136186770426
results-WARC_no_llm-7.json_5f4f8388-629d-3bea-8721-1f95b4dc720d.md,109,332,27,0.2471655328798186,0.8014705882352942,0.37781629116117854
results-WARC_no_llm-8.json_fadc54d6-b37d-37e7-a163-339c8b5480cd.md,111,393,25,0.22023809523809523,0.8161764705882353,0.34687500000000004
results-WARC_no_llm-9.json_3c588fdb-aa67-3ae5-8909-c9337ec0221a.md,116,451,20,0.20458553791887124,0.8529411764705882,0.3300142247510669
results-dronology_no_llm-1.json_8acf7ce4-026c-3da1-8f25-bc242501413d.md,73,26,147,0.7373737373737373,0.33181818181818185,0.45768025078369906
results-dronology_no_llm-10.json_83c394e9-a900-365a-9a83-d24338630ea6.md,182,808,38,0.18383838383838383,0.8272727272727273,0.3008264462809917
results-dronology_no_llm-11.json_376304e1-4838-3e5d-9c44-afa12d515f1e.md,185,904,35,0.16988062442607896,0.8409090909090909,0.2826585179526356
results-dronology_no_llm-12.json_beb99054-f54f-3b90-8a83-07af7694806d.md,189,999,31,0.1590909090909091,0.8590909090909091,0.26846590909090906
results-dronology_no_llm-13.json_329f862e-8249-3ee5-8495-06e05ad3f93c.md,193,1094,27,0.14996114996114995,0.8772727272727273,0.2561380225613802
results-dronology_no_llm-14.json_b21741f6-35bf-332c-a6a6-eb2d19c460a0.md,196,1190,24,0.1414141414141414,0.8909090909090909,0.2440846824408468
results-dronology_no_llm-15.json_04173e79-c03b-3a01-bb7d-2098a58d29f3.md,197,1288,23,0.13265993265993267,0.8954545454545455,0.23108504398826982
results-dronology_no_llm-16.json_d6f00496-985e-3a82-ab10-2b7456d60fe0.md,199,1385,21,0.12563131313131312,0.9045454545454545,0.22062084257206208
results-dronology_no_llm-17.json_9cf786b6-2585-3066-85ca-0edad6b9cad4.md,201,1482,19,0.11942959001782531,0.9136363636363637,0.21124540199684708
results-dronology_no_llm-18.json_c3166725-f61c-38be-b59d-f3b0334e6b6d.md,204,1578,16,0.11447811447811448,0.9272727272727272,0.20379620379620383
results-dronology_no_llm-19.json_52e46982-cecc-3ce0-9297-a23e94829617.md,204,1677,16,0.10845295055821372,0.9272727272727272,0.19419324131366017
results-dronology_no_llm-2.json_08071053-c07e-3f62-844b-ed1644d4e13c.md,109,89,111,0.5505050505050505,0.4954545454545455,0.5215311004784688
results-dronology_no_llm-20.json_8291f3df-812c-3e6a-ab98-fad9c916e3cf.md,205,1775,15,0.10353535353535354,0.9318181818181818,0.18636363636363637
results-dronology_no_llm-21.json_40c628f0-29e4-353d-b247-b621fc37422f.md,206,1873,14,0.09908609908609908,0.9363636363636364,0.17920835145715527
results-dronology_no_llm-22.json_b4c880a3-6626-3da5-aa6a-c23451ee916d.md,207,1971,13,0.09504132231404959,0.9409090909090909,0.17264386989157632
results-dronology_no_llm-23.json_915e34b9-9f7d-3bc5-a8d7-21be387da032.md,208,2069,12,0.09134826526130874,0.9454545454545454,0.16659991990388465
results-dronology_no_llm-24.json_a673a95e-d369-31b4-8178-7af7b06e277f.md,209,2167,11,0.08796296296296297,0.95,0.16101694915254236
results-dronology_no_llm-25.json_44c5905e-6617-3dfe-bae4-68eeeb41eb8c.md,209,2266,11,0.08444444444444445,0.95,0.15510204081632653
results-dronology_no_llm-26.json_38c51bf3-721d-3218-b8f7-364c93d2d03b.md,209,2365,11,0.0811965811965812,0.95,0.14960629921259844
results-dronology_no_llm-27.json_9b12a597-75c6-3b85-933c-c568a1ecce53.md,210,2463,10,0.07856341189674523,0.9545454545454546,0.14517801590044935
results-dronology_no_llm-28.json_551eb9db-34e2-3551-9bb4-a428909f7b6b.md,211,2561,9,0.07611832611832611,0.9590909090909091,0.14104278074866308
results-dronology_no_llm-29.json_e8b8a4a9-22ec-3645-b57f-0657d2c28a08.md,212,2659,8,0.07384186694531522,0.9636363636363636,0.13717243610482044
results-dronology_no_llm-3.json_16a79fa1-8f37-316f-956a-8cdb36a0360f.md,137,160,83,0.4612794612794613,0.6227272727272727,0.529980657640232
results-dronology_no_llm-30.json_7f925389-fac2-352e-8afc-6cc1852015ac.md,212,2758,8,0.07138047138047138,0.9636363636363636,0.1329153605015674
results-dronology_no_llm-4.json_534d7c8c-6a2a-3b72-ab14-3d3a36fb69ef.md,153,243,67,0.38636363636363635,0.6954545454545454,0.4967532467532467
results-dronology_no_llm-5.json_ad6174ef-e98f-3751-84c1-5c09bb89a7a4.md,160,335,60,0.32323232323232326,0.7272727272727273,0.44755244755244755
results-dronology_no_llm-6.json_49d2bee6-a7fe-36ea-a761-82e73b14da38.md,169,425,51,0.2845117845117845,0.7681818181818182,0.4152334152334152
results-dronology_no_llm-7.json_9c6e750a-6e76-3b76-bdc5-62e45b64a3d7.md,172,521,48,0.2481962481962482,0.7818181818181819,0.37677984665936476
results-dronology_no_llm-8.json_2c46793b-26fc-3025-a0f1-f9a2d49498da.md,177,615,43,0.22348484848484848,0.8045454545454546,0.34980237154150196
results-dronology_no_llm-9.json_382e3cf8-4d14-3baf-9dc8-d077ea6efd06.md,179,712,41,0.20089786756453423,0.8136363636363636,0.32223222322232226
